Date,mtt_condition,mtt_on,mtt_off,mansfield_rs,mansfield_rs_ma,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_positive_mom,is_negative_mom,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,mansfield_rsi,minervini_rsi
2024-08-09,1,0,0,97.68104941545242,24.3952174796086,119.37885721010191,94.26972174123142,False,False,1,0,True,False,11600,0,-1,-1,1436,ＧｒｅｅｎＥｎｅｒｇｙ　＆　Ｃｏｍｐａｎｙ,建設業,建設・資材,-,グロース（内国株式）,99.8,99.6
2024-08-09,1,1,0,32.02523805530553,5.840684415670213,30.87181789456446,92.33680989006564,False,False,1,0,True,False,3700,0,-1,-1,1799,第一建設工業,建設業,建設・資材,-,スタンダード（内国株式）,97.5,95.8
2024-08-09,1,1,0,14.671552582289094,3.488014046533069,13.425230071184805,185.31792373051985,False,False,1,0,False,True,0,283700,1,-1,1820,西松建設,建設業,建設・資材,TOPIX Mid400,プライム（内国株式）,91.2,88.6
2024-08-09,1,0,0,30.63137173327317,13.635635969739855,38.96449261783379,34.99375830548061,False,False,1,0,True,False,44100,0,-1,1,1826,佐田建設,建設業,建設・資材,TOPIX Small 2,スタンダード（内国株式）,97.1,97.2
2024-08-09,1,1,0,12.532105018873342,-6.406304020294814,10.525614502977833,137.9213143800588,False,False,1,0,True,False,59900,0,1,-1,1888,若築建設,建設業,建設・資材,TOPIX Small 2,プライム（内国株式）,88.7,85.8
2024-08-09,1,1,0,38.23465906373627,11.177169486204264,43.06312450029671,35.6380622558692,False,False,1,0,True,False,175600,0,1,1,1921,巴コーポレーション,建設業,建設・資材,TOPIX Small 2,スタンダード（内国株式）,98.2,97.6
2024-08-09,1,0,0,19.345012852937437,10.795574981866316,19.530747160296997,73.24930535980349,False,False,1,0,False,True,0,600100,-1,-1,1942,関電工,建設業,建設・資材,TOPIX Small 1,プライム（内国株式）,94.2,92.5
2024-08-09,1,1,0,24.178077969691536,-0.5278759585433902,24.262711751845192,100.59195425441952,False,False,1,0,True,False,61200,0,-1,-1,2108,日本甜菜製糖,食料品,食品,TOPIX Small 2,プライム（内国株式）,95.6,94.4
2024-08-09,1,0,0,19.65452854583487,4.862987233445758,23.71220199698026,196.11001489952884,False,False,1,0,True,False,11300,0,1,-1,2226,湖池屋,食料品,食品,-,スタンダード（内国株式）,94.4,94.2
2024-08-09,1,0,0,27.328391466468837,-5.44000870814399,33.337009985422824,14.174686908549107,False,False,1,0,True,False,1852000,0,-1,-1,2317,システナ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,96.4,96.2
2024-08-09,1,0,0,41.65501802694966,6.378396490006927,50.770994829292945,137.31727942656948,False,False,0,0,False,True,0,735200,1,1,2327,日鉄ソリューションズ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,98.5,98.2
2024-08-09,1,0,0,44.242498171992374,14.692501026452398,63.947309514755005,25.168123062054523,False,False,1,0,False,False,0,0,-1,1,2329,東北新社,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,98.6,98.8
2024-08-09,1,0,0,22.640020193687693,-5.807170247751077,17.585471637417857,84.68570047920106,False,False,1,0,False,True,0,1478900,1,1,2371,カカクコム,サービス業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,95.3,91.7
2024-08-09,1,1,0,34.207079721585785,2.7180838469697415,48.589971041549575,111.74646639552208,False,False,1,0,False,False,0,0,-1,1,2372,アイロムグループ,サービス業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,97.8,98.1
2024-08-09,1,0,0,28.52798680910793,-2.2910616070842225,27.717873092742725,19.127773527161438,False,False,1,0,True,False,18000,0,-1,-1,2404,鉄人化ホールディングス,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）,96.7,95.1
2024-08-09,1,0,0,23.03229779587477,-6.994648140590429,21.92901652647893,27.06076591632102,False,False,0,1,False,True,0,151800,-1,-1,2428,ウェルネット,サービス業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,95.5,93.6
2024-08-09,1,1,0,9.49063133924195,-13.619586388524414,-0.3500154489604324,62.477348689244145,False,False,1,0,True,False,1834300,0,1,-1,2432,ディー・エヌ・エー,サービス業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,84.6,64.2
2024-08-09,1,1,0,20.885563900638427,-14.320813878501504,17.00664645388056,136.51189948858374,False,False,1,0,True,False,20900,0,-1,-1,2477,手間いらず,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,94.7,91.3
2024-08-09,1,0,0,19.325887571077427,-1.1779619096004046,13.191259141692086,92.98111384045423,False,False,0,0,False,True,0,18600,-1,-1,2540,養命酒製造,食料品,食品,TOPIX Small 2,プライム（内国株式）,94.2,88.4
2024-08-09,1,0,0,60.25979394892529,18.056487133504373,71.85071012466855,98.21608343736156,False,False,0,1,False,True,0,2000,1,1,2599,ジャパンフーズ,食料品,食品,TOPIX Small 2,スタンダード（内国株式）,99.4,99.1
2024-08-09,1,0,0,39.58566787483668,-0.18757167243888914,42.14698083863091,155.2369830467523,False,False,1,0,False,True,0,31000,-1,-1,2698,キャンドゥ,小売業,小売,TOPIX Small 2,スタンダード（内国株式）,98.3,97.6
2024-08-09,1,0,0,17.936165598427813,-6.184347323469322,15.655203829836061,29.315829742681107,False,False,0,1,False,True,0,71500,-1,-1,2735,ワッツ,小売業,小売,TOPIX Small 2,スタンダード（内国株式）,93.5,90.2
2024-08-09,1,1,0,37.76820057641839,6.033962981467098,35.93139803633327,25.36946804655096,True,False,1,0,False,False,0,0,1,1,2754,東葛ホールディングス,小売業,小売,-,スタンダード（内国株式）,98.1,96.6
2024-08-09,1,0,0,27.74998800754991,2.48801697547414,35.97640618847931,133.89441469013005,False,False,0,1,False,True,0,284900,-1,1,2782,セリア,小売業,小売,-,スタンダード（内国株式）,96.5,96.6
2024-08-09,1,0,0,44.69139891176197,11.257633986070006,56.137612466954764,453.4289050859743,True,False,1,0,False,True,0,85100,1,1,2791,大黒天物産,小売業,小売,TOPIX Small 1,プライム（内国株式）,98.7,98.6
2024-08-09,1,0,0,29.8777237526338,5.240305516323186,31.56939766393578,144.28381589014617,False,False,0,1,False,True,0,333300,-1,-1,2809,キユーピー,食料品,食品,TOPIX Mid400,プライム（内国株式）,97.1,95.9
2024-08-09,1,0,0,33.60573609136548,-0.5248311253265839,36.196486993383004,124.22985543430113,False,False,0,1,False,True,0,18700,1,1,2899,永谷園ホールディングス,食料品,食品,TOPIX Small 2,プライム（内国株式）,97.7,96.7
2024-08-09,1,0,0,36.86971251761126,-8.069297390190249,37.28637846153304,8.537027342648894,False,False,1,0,False,True,0,15800,-1,-1,2901,ウェルディッシュ,食料品,食品,-,スタンダード（内国株式）,98.0,96.8
2024-08-09,1,0,0,15.425451498997166,11.15274418717356,18.04316833825079,83.63870655981958,False,False,1,0,False,True,0,55900,-1,-1,2915,ケンコーマヨネーズ,食料品,食品,TOPIX Small 2,プライム（内国株式）,91.9,91.9
2024-08-09,1,1,0,19.13181749994226,3.2037376397990225,21.39433016794983,288.7287077678895,False,False,1,0,True,False,2000,0,1,1,2923,サトウ食品,食料品,食品,-,スタンダード（内国株式）,94.1,93.5
2024-08-09,1,1,0,29.26004217345821,-6.920473688871834,25.220876114004366,36.96693915354568,False,False,1,0,True,False,3900,0,-1,-1,2983,アールプランナー,不動産業,不動産,-,グロース（内国株式）,96.9,94.7
2024-08-09,1,0,0,50.52496795229602,-7.37887235302748,57.805016420601326,94.91402569162001,True,False,1,0,True,False,2917900,0,1,1,3064,ＭｏｎｏｔａＲＯ,小売業,小売,TOPIX Mid400,プライム（内国株式）,99.1,98.6
2024-08-09,1,0,0,31.119043503097643,4.796405804296644,42.27518093236835,176.3379374219788,False,False,1,0,True,False,1513100,0,-1,1,3092,ＺＯＺＯ,小売業,小売,TOPIX Mid400,プライム（内国株式）,97.3,97.6
2024-08-09,1,0,0,57.570879487502324,-4.9855741468623185,56.00950916092946,12.68473402327548,False,False,0,1,False,True,0,3404100,1,-1,3103,ユニチカ,繊維製品,素材・化学,TOPIX Small 2,プライム（内国株式）,99.3,98.5
2024-08-09,1,0,0,31.827118736269465,4.000983933792651,32.97953569521261,119.2767688156888,False,False,0,1,False,True,0,64400,1,-1,3139,ラクト・ジャパン,卸売業,商社・卸売,TOPIX Small 2,プライム（内国株式）,97.4,96.1
2024-08-09,1,1,0,57.82253068939794,37.426235645550676,105.36090610797069,35.597793258969915,False,False,1,0,True,False,1882500,0,-1,-1,3205,ダイドーリミテッド,繊維製品,素材・化学,TOPIX Small 2,スタンダード（内国株式）,99.3,99.5
2024-08-09,1,0,0,34.8657598406573,3.3443072514214087,37.54449530009437,21.10095437522651,True,False,1,0,True,False,28600,0,1,1,3261,グランディーズ,不動産業,不動産,-,グロース（内国株式）,97.8,96.9
2024-08-09,1,0,0,14.449916842616473,-11.545483910478232,3.706656327056384,205.3718841863649,False,False,1,0,False,True,0,508600,-1,-1,3288,オープンハウスグループ,不動産業,不動産,TOPIX Mid400,プライム（内国株式）,91.0,75.9
2024-08-09,1,0,0,47.811718670257065,-2.0144950796299215,47.623683487882566,105.10208190713969,True,False,1,0,True,False,233000,0,1,1,3328,ＢＥＥＮＯＳ,小売業,小売,TOPIX Small 2,プライム（内国株式）,98.9,97.9
2024-08-09,1,1,0,193.2737181772966,51.769624330305184,434.3671497584541,47.92010631015181,False,False,1,0,True,False,9435900,0,-1,-1,3350,メタプラネット,卸売業,商社・卸売,-,スタンダード（内国株式）,99.9,99.9
2024-08-09,1,0,0,48.53521287844846,-1.7539948058309431,41.39299967847897,24.36274312406878,False,False,0,1,False,True,0,5300,-1,-1,3474,Ｇ－ＦＡＣＴＯＲＹ,不動産業,不動産,-,グロース（内国株式）,99.0,97.4
2024-08-09,1,0,0,48.439779700450835,9.048533637398133,51.52175517930261,32.33600451012765,True,False,1,0,True,False,353000,0,1,1,3529,アツギ,繊維製品,素材・化学,TOPIX Small 2,スタンダード（内国株式）,98.9,98.2
2024-08-09,1,0,0,18.808291623713913,-0.5178868567208523,19.95829411117707,169.1297869770064,False,False,1,0,False,False,0,0,-1,-1,3593,ホギメディカル,繊維製品,素材・化学,TOPIX Small 1,プライム（内国株式）,93.9,92.6
2024-08-09,1,0,0,80.72184174926005,-9.231337348946104,81.23619896079548,69.3834816574719,True,False,1,0,True,False,273000,0,1,1,3623,ビリングシステム,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,99.6,99.2
2024-08-09,1,0,0,37.443922058293055,-21.487641291313718,36.14516758206708,11.678009100793298,False,False,1,0,False,True,0,3216500,-1,-1,3667,ｅｎｉｓｈ,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,98.1,96.7
2024-08-09,1,0,0,21.523009751898826,0.2110461377764139,22.03021504039659,26.335923972133852,True,False,1,0,True,False,763200,0,1,1,3673,ブロードリーフ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,95.0,93.7
2024-08-09,1,0,0,77.71828902918688,7.794540439624386,94.06068237419689,149.8006684653485,False,False,1,0,True,False,217100,0,-1,1,3738,ティーガイア,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,99.5,99.4
2024-08-09,1,0,0,17.617101028181615,-2.4014778540712376,18.546924338951015,82.39036765594169,False,False,0,1,False,True,0,142600,1,1,3762,テクマトリックス,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,93.3,92.0
2024-08-09,1,0,0,23.56540472412565,-8.507359491862513,12.774771319694983,116.78009100793298,False,False,1,0,False,False,0,0,1,-1,3765,ガンホー・オンライン・エンターテイメント,情報・通信業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,95.6,87.9
2024-08-09,1,0,0,46.66772722245025,14.032368726883266,71.4657048084575,71.2761245117384,False,False,1,0,True,False,408300,0,1,1,3791,ＩＧポート,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,98.8,99.1
2024-08-09,1,0,0,96.05514022393487,3.999930402543447,136.5073781874507,22.349293279104415,False,False,0,1,False,True,0,48900,-1,-1,3815,メディア工房,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,99.7,99.7
2024-08-09,1,0,0,56.89396982286961,7.306151678545842,66.89059001554294,70.6720895582491,False,False,0,1,False,True,0,70000,-1,-1,3841,ジーダット,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,99.3,98.9
2024-08-09,1,1,0,20.081322132230483,1.975041727142929,20.65285481648378,103.45105303426891,False,False,1,0,True,False,178800,0,1,1,4092,日本化学工業,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,94.5,93.1
2024-08-09,1,0,0,17.158792884030703,-8.376964505614023,16.255462807375327,119.45797930173559,False,False,1,0,False,True,0,1389100,-1,-1,4151,協和キリン,医薬品,医薬品,TOPIX Mid400,プライム（内国株式）,93.1,90.6
2024-08-09,1,0,0,34.293302884954244,3.1670412371261905,35.41523937121992,34.95348930858132,False,False,0,0,False,True,0,526400,-1,1,4215,タキロンシーアイ,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,97.8,96.5
2024-08-09,1,0,0,23.482513219306654,2.661625130302737,25.65008621368135,104.25643297225466,False,False,1,0,True,False,17700,0,-1,-1,4258,網屋,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,95.5,94.7
2024-08-09,1,0,0,13.820640366079662,-2.7922347081461845,12.7684015868478,185.478999718117,False,False,1,0,False,True,0,1549400,-1,-1,4307,野村総合研究所,情報・通信業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,90.1,87.9
2024-08-09,1,0,0,83.84473923023086,17.28024228075596,112.67834507038876,243.2247412716949,False,False,0,0,False,True,0,102200,1,1,4348,インフォコム,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,99.6,99.6
2024-08-09,1,0,0,38.378564405494096,4.692815520155774,47.101759524687374,181.61317601578543,False,False,1,0,True,False,42600,0,1,1,4413,ボードルア,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,98.2,97.8
2024-08-09,1,0,0,40.199879611921375,-9.33393440036043,35.36549865792796,118.51165787460234,True,False,0,1,False,True,0,9100,1,1,4439,東名,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,98.4,96.4
2024-08-09,1,0,0,31.889259483981093,-2.712252637301946,41.288638692678994,81.50444972415737,False,False,1,0,False,True,0,553400,-1,-1,4443,Ｓａｎｓａｎ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,97.5,97.4
2024-08-09,1,0,0,27.023459729821475,3.532299061412027,34.67093729770423,96.40397857689364,False,False,1,0,True,False,27000,0,-1,-1,4462,石原ケミカル,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,96.3,96.4
2024-08-09,1,0,0,28.60503742763223,-1.011581726420375,27.887896265357305,48.72548624813756,False,False,0,1,False,True,0,77600,1,1,4463,日華化学,化学,素材・化学,TOPIX Small 2,スタンダード（内国株式）,96.7,95.2
2024-08-09,1,0,0,40.07303451389033,-19.55185818728072,39.7350612060427,52.551040953569846,False,False,1,0,False,True,0,86800,1,1,4490,ビザスク,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,98.4,97.2
2024-08-09,1,0,0,18.111858468271393,6.832497776837017,27.815936370501333,246.52679901743645,False,False,1,0,False,True,0,3771400,-1,1,4519,中外製薬,医薬品,医薬品,TOPIX Large70,プライム（内国株式）,93.6,95.2
2024-08-09,1,0,0,25.0872036251613,1.9936117401551265,25.537516366873753,72.76607739701204,False,False,1,0,False,True,0,2116800,1,1,4536,参天製薬,医薬品,医薬品,TOPIX Mid400,プライム（内国株式）,95.9,94.7
2024-08-09,1,0,0,102.41303826203234,-18.533376422303586,138.88927738927742,1.9731808480650745,False,False,0,1,False,True,0,37442900,1,1,4564,オンコセラピー・サイエンス,医薬品,医薬品,-,グロース（内国株式）,99.8,99.7
2024-08-09,1,1,0,13.062181888260316,-8.544537547537168,6.7885884300973975,93.30326581564853,False,False,1,0,True,False,52400,0,-1,-1,4577,ダイト,医薬品,医薬品,TOPIX Small 2,プライム（内国株式）,89.2,81.2
2024-08-09,1,0,0,31.59513656488957,2.5246412561385156,31.22342427148593,309.82966214311597,False,False,1,0,False,True,0,1866600,-1,1,4578,大塚ホールディングス,医薬品,医薬品,TOPIX Large70,プライム（内国株式）,97.4,95.8
2024-08-09,1,0,0,59.32796733344787,-2.921377485157929,101.96988279978292,39.26227197680505,False,False,0,1,False,True,0,1462700,-1,-1,4592,サンバイオ,医薬品,医薬品,-,グロース（内国株式）,99.4,99.5
2024-08-09,1,0,0,15.808182891685018,2.0956892177744515,17.883388080677022,139.93476422502314,False,False,1,0,False,True,0,187800,-1,-1,4626,太陽ホールディングス,化学,素材・化学,TOPIX Small 1,プライム（内国株式）,92.2,91.8
2024-08-09,1,0,0,22.11277524394919,-4.865488729681039,20.91132177926603,372.89091128739983,False,False,1,0,True,False,4000,0,1,-1,4628,エスケー化研,化学,素材・化学,-,スタンダード（内国株式）,95.1,93.2
2024-08-09,1,0,0,19.65648845766563,0.678595172814635,22.106622549126158,169.33113196150282,False,False,1,0,True,False,11500,0,-1,-1,4746,東計電算,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,94.4,93.7
2024-08-09,1,0,0,23.112698529922127,0.2987340346025203,23.63695144903418,87.3837232714533,False,False,1,0,False,True,0,46500,1,1,4792,山田コンサルティンググループ,サービス業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）,95.5,94.2
2024-08-09,1,1,0,15.996090842933963,11.786562092923823,28.24172851545382,254.50006040349533,False,False,1,0,True,False,535100,0,-1,-1,4887,サワイグループホールディングス,医薬品,医薬品,TOPIX Mid400,プライム（内国株式）,92.4,95.4
2024-08-09,1,1,0,27.47744557113576,3.9676275348889294,26.42243734059397,173.55937663592798,True,False,1,0,True,False,47800,0,1,1,4914,高砂香料工業,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,96.4,94.8
2024-08-09,1,0,0,108.6289561901073,9.204684633012072,152.64149098908683,37.208553134941404,False,False,1,0,True,False,195900,0,-1,-1,4935,リベルタ,化学,素材・化学,-,スタンダード（内国株式）,99.9,99.8
2024-08-09,1,1,0,14.167279675700994,,8.728210504390438,217.85527322514395,False,False,1,0,True,False,81400,0,1,1,5254,Ａｒｅｎｔ,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,90.6,83.8
2024-08-09,1,0,0,40.14339253368624,10.284670816833156,48.7638033857958,209.39878387629363,False,False,1,0,True,False,397200,0,1,1,5393,ニチアス,ガラス・土石製品,建設・資材,TOPIX Small 1,プライム（内国株式）,98.4,98.1
2024-08-09,1,1,0,29.466449879572988,-4.576774323787556,23.104481715005186,132.484999798655,True,False,1,0,False,False,0,0,1,1,5395,理研コランダム,ガラス・土石製品,建設・資材,-,スタンダード（内国株式）,97.0,94.0
2024-08-09,1,0,0,25.074910087356272,13.300506119497204,27.35747549849417,108.72629162807554,False,False,1,0,False,True,0,89200,1,-1,5449,大阪製鐵,鉄鋼,鉄鋼・非鉄,TOPIX Small 2,スタンダード（内国株式）,95.9,95.0
2024-08-09,1,1,0,13.021232799557803,-5.116699382490275,10.714017884033376,37.85285708533,True,False,1,0,True,False,8600,0,1,1,5458,高砂鐵工,鉄鋼,鉄鋼・非鉄,-,スタンダード（内国株式）,89.2,86.0
2024-08-09,1,0,0,29.13550406160641,2.6911884900158474,36.47205337024088,101.47787218620384,False,False,1,0,True,False,1700,0,-1,-1,5941,中西製作所,金属製品,建設・資材,-,スタンダード（内国株式）,96.9,96.7
2024-08-09,1,0,0,53.04094251761775,1.4808160333404627,59.27677635253603,7.691378407763862,False,False,1,0,True,False,122000,0,-1,-1,5950,日本パワーファスニング,金属製品,建設・資材,-,スタンダード（内国株式）,99.2,98.7
2024-08-09,1,1,0,14.374650259423971,-5.9622184560567915,13.307295485059246,22.953328232593723,False,False,1,0,True,False,25500,0,-1,-1,6037,ファーストロジック,サービス業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,90.9,88.5
